2025-07-03 16:43:28,735 ERROR: Failed to process data/CSI-CARDIOLOGY-UPDATE-2018-Binder.pdf: pdfminer package not found, please install it with `pip install pdfminer.six`
2025-07-03 16:43:28,735 ERROR: Failed to process data/cardiology-explained.pdf: pdfminer package not found, please install it with `pip install pdfminer.six`
2025-07-03 16:43:28,735 ERROR: Failed to process data/14922.pdf: pdfminer package not found, please install it with `pip install pdfminer.six`
kage not found, please install it with `pip install pdfminer.six`
2025-07-03 20:21:24,581 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:24,581 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:24,596 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:24,660 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:24,765 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:24,912 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:24,912 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:24,928 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:24,933 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:24,960 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:24,986 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:25,008 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:25,009 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:25,066 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:25,086 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:25,150 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:25,161 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:25,461 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:25,476 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:25,519 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:25,556 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:25,588 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:25,962 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:26,027 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:26,709 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:26,751 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:26,783 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:26,852 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:26,901 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:26,960 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:27,010 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:27,071 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:27,340 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:27,375 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:27,587 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:27,610 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:27,658 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:27,674 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:27,689 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:27,753 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:27,785 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:27,803 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:27,833 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:27,851 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:28,216 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:28,216 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:28,252 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:28,807 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:28,816 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:28,864 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:29,241 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:29,271 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:29,273 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:29,287 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:29,319 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
